"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01006099999","2023-01-28T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","060,1,N,0128,1","99999,9,9,9","999999,9,9,9","-0032,1","-0043,1","09840,1",,,"99999,9,09825,1","7,1,011,1,+999,9","0167,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-01-28T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","053,1,N,0090,1","99999,9,9,9","999999,9,9,9","-0029,1","-0036,1","09838,1",,,"99999,9,09822,1","7,1,005,1,+999,9","0140,1","9,99,0117,1,999","SYN004BUFR",
"01006099999","2023-01-29T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","096,1,N,0120,1","99999,9,9,9","999999,9,9,9","-0047,1","-0066,1","09943,1",,,"99999,9,09928,1","1,1,013,1,+999,9","0147,1","9,99,0135,1,999","SYN004BUFR",
"01006099999","2023-01-30T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","057,1,N,0091,1","99999,9,9,9","999999,9,9,9","-0062,1","-0080,1","10043,1",,,"99999,9,10027,1","2,1,008,1,+999,9","0113,1","9,99,0102,1,999","SYN004BUFR",
"01006099999","2023-01-31T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","057,1,N,0082,1","99999,9,9,9","999999,9,9,9","-0080,1","-0112,1","10089,1",,,"99999,9,10073,1","2,1,011,1,+999,9","0113,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-01-31T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","057,1,N,0069,1","99999,9,9,9","999999,9,9,9","-0077,1","-0113,1","10090,1",,,"99999,9,10074,1","3,1,005,1,+999,9","0087,1","9,99,0075,1,999","SYN004BUFR",
"01006099999","2023-02-03T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","356,1,N,0040,1","99999,9,9,9","999999,9,9,9","-0122,1","-0152,1","10228,1",,,"99999,9,10211,1",,"0064,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.3    3APC3  "
"01006099999","2023-02-03T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","312,1,N,0022,1","99999,9,9,9","999999,9,9,9","-0137,1","-0160,1","10278,1",,,"99999,9,10261,1","2,1,007,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-07T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","244,1,N,0087,1","99999,9,9,9","999999,9,9,9","-0050,1","-0087,1","09769,1",,,"99999,9,09753,1","1,1,042,1,+999,9","0163,1","9,99,0147,1,999","SYN004BUFR",
"01006099999","2023-02-09T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","165,1,N,0112,1","99999,9,9,9","999999,9,9,9","-0044,1","-0066,1","09546,1",,,"99999,9,09531,1","7,1,024,1,+999,9","0129,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-09T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","215,1,N,0069,1","99999,9,9,9","999999,9,9,9","-0077,1","-0105,1","09622,1",,,"99999,9,09606,1",,"0082,1","3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01006099999","2023-02-11T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","345,1,N,0068,1","99999,9,9,9","999999,9,9,9","-0030,1","-0039,1","09711,1",,,"99999,9,09696,1","3,1,010,1,+999,9","0087,1","3,99,9999,9,999","SYN004BUFR",
