"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"01001499999","2023-01-02T12:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","180,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0020,1","-0020,1","99999,9","04,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00975,1,99,9,99,9","10060,1,99999,9",,,,"MET052METAR ENSO 021250Z 18002KT 9999 SCT032 02/M02 Q1006=",
"01001499999","2023-01-02T13:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","010,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0010,1","-0020,1","99999,9","04,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00975,1,99,9,99,9","10060,1,99999,9",,,,"MET052METAR ENSO 021320Z 01003KT 9999 SCT032 01/M02 Q1006=",
"01001499999","2023-01-02T13:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0005,1","00975,1,C,N","009999,1,9,9","+0010,1","-0010,1","99999,9","07,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET052METAR ENSO 021350Z 12001KT 9999 BKN032 01/M01 Q1007=",
"01001499999","2023-01-02T14:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","999,9,V,0005,1","00975,1,C,N","009999,1,9,9","+0010,1","-0020,1","99999,9","07,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET052METAR ENSO 021420Z VRB01KT 9999 BKN032 01/M02 Q1007=",
"01001499999","2023-01-02T14:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0010,1","00914,1,9,N","009999,1,9,9","+0010,1","-0020,1","99999,9","02,1,+00457,1,99,9","07,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10070,1,99999,9","16,1",,,"MET064METAR ENSO 021450Z 12002KT 9999 VCSH FEW015 BKN030 01/M02 Q1007=",
"01001499999","2023-01-02T15:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","280,1,N,0010,1","00914,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9","02,1,+00457,1,99,9","07,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10070,1,99999,9","16,1",,,"MET064METAR ENSO 021520Z 28002KT 9999 VCSH FEW015 BKN030 01/M00 Q1007=",
"01001499999","2023-01-02T15:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","330,1,N,0005,1","00975,1,C,N","009999,1,9,9","+0010,1","-0010,1","99999,9","07,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET052METAR ENSO 021550Z 33001KT 9999 BKN032 01/M01 Q1007=",
"01001499999","2023-01-02T16:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0010,1","00975,1,C,N","009999,1,9,9","+0010,1","-0020,1","99999,9","07,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET052METAR ENSO 021620Z 10002KT 9999 BKN032 01/M02 Q1007=",
"01001499999","2023-01-02T16:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0020,1","-0030,1","99999,9","04,1,+00975,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00975,1,99,9,99,9","10070,1,99999,9",,,,"MET052METAR ENSO 021650Z 10004KT 9999 SCT032 02/M03 Q1007=",
"01001499999","2023-01-03T06:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0057,1","00914,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00427,1,99,9","04,1,+00914,1,99,9","07,1,+01219,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10150,1,99999,9",,,,"MET065METAR ENSO 030650Z 10011KT 9999 FEW014 SCT030 BKN040 02/01 Q1015=",
"01001499999","2023-01-03T07:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","130,1,N,0051,1","01189,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00853,1,99,9","04,1,+01189,1,99,9","07,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00853,1,99,9,99,9","10160,1,99999,9",,,,"MET065METAR ENSO 030720Z 13010KT 9999 FEW028 SCT039 BKN080 02/01 Q1016=",
"01001499999","2023-01-03T07:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0051,1","01189,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00396,1,99,9","04,1,+01189,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10160,1,99999,9",,,,"MET058METAR ENSO 030750Z 11010KT 9999 FEW013 SCT039 02/01 Q1016=",
